specobjid,z,z_noqso,snMedian,run2d,ra,dec,plate,mjd,fiberid
839982665825282048,0.04447515,0,55.37083,26,351.31993,14.359895,746,52238,223
300754940081498112,0.01255482,0,55.35254,26,148.33426,0.69772982,267,51608,508
7650681839569313792,0.02942449,0.02942449,55.34752,v5_10_0,226.69712,56.291021,6795,56425,698
6092296722603548672,0.05347821,0.05347821,55.33046,v5_10_0,192.00844,9.442517,5411,55953,190
709384320791373824,0.02911655,0,55.31817,26,251.75318,39.061343,630,52050,245
7583192715875033088,0.03648782,0.03648782,55.31425,v5_10_0,233.87619,46.75528,6735,56397,934
746497787624974336,0.01766686,0,55.30842,26,25.22344,-10.278211,663,52145,95
682423476329408512,0.03616836,0,55.29206,26,214.50568,62.42936,606,52365,466
749923591046326272,0.01789778,0,55.27416,26,29.376884,-9.462372,666,52149,270
518083314217674752,0.03441372,0,55.27386,26,51.355674,-6.1438697,460,51924,616
2016620120511637504,0.0215707,0,55.26846,26,193.22333,9.9892411,1791,54266,485
7238671740364103680,0.026193,0.026193,55.2662,v5_10_0,169.66701,22.577371,6429,56274,950
502299274625705984,0.02407279,0,55.25707,26,131.28773,54.97826,446,51899,538
2106578023930161152,0.02444479,0,55.25644,26,123.28808,54.637427,1871,53384,70
